"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 05 02:10:34 GMT-03:00 2022","Mon Dec 05 02:10:35 GMT-03:00 2022","1166","","br.com.dbccompany.chronos.testes.aceitacao.usuario.UsuarioStatusTest","","br.com.dbccompany.chronos.testes.aceitacao.usuario.UsuarioStatusTest","deveMudarStatusComSucesso","deveMudarStatusComSucesso()","Deve mudar status com sucesso"
"passed","Mon Dec 05 02:09:40 GMT-03:00 2022","Mon Dec 05 02:09:40 GMT-03:00 2022","124","","br.com.dbccompany.chronos.testes.aceitacao.dia.DiaNaoUtilDeleteTest","","br.com.dbccompany.chronos.testes.aceitacao.dia.DiaNaoUtilDeleteTest","deveFalharDeletarUmDiaNaoUtilSemAuth","deveFalharDeletarUmDiaNaoUtilSemAuth()","Deve retornar erro ao tentar deletar um dia não útil sem auth"
"passed","Mon Dec 05 02:09:55 GMT-03:00 2022","Mon Dec 05 02:09:56 GMT-03:00 2022","484","","br.com.dbccompany.chronos.testes.aceitacao.edicao.EdicaoEditarTest","","br.com.dbccompany.chronos.testes.aceitacao.edicao.EdicaoEditarTest","deveFalharAoEditarUmaEdicaoComDataInicialNoFormatoInvalido","deveFalharAoEditarUmaEdicaoComDataInicialNoFormatoInvalido()","Deve retornar erro ao editar uma edição com dataInicial no formato invalido"
"passed","Mon Dec 05 02:09:50 GMT-03:00 2022","Mon Dec 05 02:09:50 GMT-03:00 2022","120","","br.com.dbccompany.chronos.testes.aceitacao.edicao.EdicaoCreateTest","","br.com.dbccompany.chronos.testes.aceitacao.edicao.EdicaoCreateTest","deveFalharAoCriarUmaEdicaoSemDataInicial","deveFalharAoCriarUmaEdicaoSemDataInicial()","Deve retornar erro ao criar uma edição sem dataInicial"
"passed","Mon Dec 05 02:09:39 GMT-03:00 2022","Mon Dec 05 02:09:39 GMT-03:00 2022","178","","br.com.dbccompany.chronos.testes.aceitacao.dia.DiaNaoUtilCreateTest","","br.com.dbccompany.chronos.testes.aceitacao.dia.DiaNaoUtilCreateTest","deveFalharCriarUmDiaNaoUtilSemDescricao","deveFalharCriarUmDiaNaoUtilSemDescricao()","Deve retornar erro ao criar um dia não útil sem descrição"
"passed","Mon Dec 05 02:09:40 GMT-03:00 2022","Mon Dec 05 02:09:40 GMT-03:00 2022","141","","br.com.dbccompany.chronos.testes.aceitacao.dia.DiaNaoUtilCreateTest","","br.com.dbccompany.chronos.testes.aceitacao.dia.DiaNaoUtilCreateTest","deveFalharCriarUmDiaNaoUtilSemDataInicial","deveFalharCriarUmDiaNaoUtilSemDataInicial()","Deve retornar erro ao criar um dia não útil sem data inicial"
"passed","Mon Dec 05 02:09:36 GMT-03:00 2022","Mon Dec 05 02:09:36 GMT-03:00 2022","181","","br.com.dbccompany.chronos.testes.aceitacao.area.AreaEnvolvidaCreateTest","","br.com.dbccompany.chronos.testes.aceitacao.area.AreaEnvolvidaCreateTest","criarAreaEnvolvidaSemNome","criarAreaEnvolvidaSemNome()","Deve retornar erro ao criar uma área envolvida sem nome"
"passed","Mon Dec 05 02:09:45 GMT-03:00 2022","Mon Dec 05 02:09:45 GMT-03:00 2022","137","","br.com.dbccompany.chronos.testes.aceitacao.dia.DiaNaoUtilEditarTest","","br.com.dbccompany.chronos.testes.aceitacao.dia.DiaNaoUtilEditarTest","deveFalharEditarUmDiaNaoUtilComIdInvalido","deveFalharEditarUmDiaNaoUtilComIdInvalido()","Deve retornar erro ao tentar editar um dia não útil com id inválido"
"passed","Mon Dec 05 02:09:48 GMT-03:00 2022","Mon Dec 05 02:09:48 GMT-03:00 2022","139","","br.com.dbccompany.chronos.testes.aceitacao.edicao.EdicaoClonarTest","","br.com.dbccompany.chronos.testes.aceitacao.edicao.EdicaoClonarTest","deveFalharClonarUmaEdicaoComIdInvalido","deveFalharClonarUmaEdicaoComIdInvalido()","Deve retornar erro ao tentar clonar uma edição com id inexistente"
"passed","Mon Dec 05 02:09:57 GMT-03:00 2022","Mon Dec 05 02:09:57 GMT-03:00 2022","495","","br.com.dbccompany.chronos.testes.aceitacao.edicao.EdicaoEditarTest","","br.com.dbccompany.chronos.testes.aceitacao.edicao.EdicaoEditarTest","deveFalharAoEditarUmaEdicaoSemDataFinal","deveFalharAoEditarUmaEdicaoSemDataFinal()","Deve retornar erro ao editar uma edição sem dataFinal"
"passed","Mon Dec 05 02:09:49 GMT-03:00 2022","Mon Dec 05 02:09:49 GMT-03:00 2022","127","","br.com.dbccompany.chronos.testes.aceitacao.edicao.EdicaoCreateTest","","br.com.dbccompany.chronos.testes.aceitacao.edicao.EdicaoCreateTest","deveFalharAoCriarUmaEdicaoComDataFinalNoFormatoInvalido","deveFalharAoCriarUmaEdicaoComDataFinalNoFormatoInvalido()","Deve retornar erro ao criar uma edição com dataFinal no formato invalido"
"passed","Mon Dec 05 02:10:26 GMT-03:00 2022","Mon Dec 05 02:10:27 GMT-03:00 2022","895","","br.com.dbccompany.chronos.testes.aceitacao.usuario.UsuarioCreateTest","","br.com.dbccompany.chronos.testes.aceitacao.usuario.UsuarioCreateTest","deveCriarUsuarioComSucesso","deveCriarUsuarioComSucesso()","Deve criar usuario com sucesso"
"passed","Mon Dec 05 02:10:33 GMT-03:00 2022","Mon Dec 05 02:10:33 GMT-03:00 2022","126","","br.com.dbccompany.chronos.testes.aceitacao.usuario.UsuarioPerfilTest","","br.com.dbccompany.chronos.testes.aceitacao.usuario.UsuarioPerfilTest","deveFalharAtualizarPerfilSemNovaSenha","deveFalharAtualizarPerfilSemNovaSenha()","Deve retornar erro ao tentar atualizar perfil sem novaSenha"
