"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Frontend","Perfil","Editar Perfil","0","1","5","0","0"
"Frontend","Processo","Criar Processo","0","0","2","0","0"
"Frontend","Edição","Editar edição","0","0","4","0","0"
"Frontend","Colaborador","Criar Colaborador","1","0","5","0","0"
"Frontend","Login","Fazer Login","0","0","9","0","0"
"Frontend","Dia não útil","Criar dia não útil","0","0","6","0","0"
"Frontend","Edição","Criar edição","0","0","6","0","0"
"Frontend","Colaborador","Editar Colaborador","0","0","3","0","0"
"Frontend","Etape","Editar Etapa","0","0","3","0","0"
"Frontend","Dia não útil","Editar dia não útil","0","0","3","0","0"
"Frontend","Colaborador","Editar Status Colaborador","0","0","1","0","0"
"Frontend","Etape","Criar Etapa","0","0","2","0","0"
"Frontend","Edição","Editar status edição","0","0","1","0","0"
"Frontend","Edição","Clonar edição","0","0","1","0","0"
